match_id,equipo_id,estadistica,valor
1307911194,12698,Successful Tackles,10.0
1307911194,12698,Tackles,11.0
1307911194,12698,Clearances,18.0
1307911194,12698,Successful Aerial Duels,7.0
1307911194,12698,Aerial Duels,15.0
1307911194,12698,Successful Dribbles,7.0
1307911194,12698,Dribbles,9.0
1307911194,12698,Shots accuracy,1.0
1307911194,12698,Failed passes,63.0
1307911194,12698,Possession,0.29
1307911194,12698,Shots on target,2.0
1307911194,12698,Corners,1.0
1307911194,12698,Offsides,1.0
1307911194,12698,Successful passes,252.0
1307911194,12698,Red cards,0.0
1307911194,12698,Shots off target,0.0
1307911194,12698,Blocked shots,0.0
1307911194,12698,Shots within penalty area,2.0
1307911194,12698,Total passes,315.0
1307911194,12698,Shots outside penalty area,0.0
1307911194,12698,Goalkeeper saves,5.0
1307911194,12698,Fouls,8.0
1307911194,12698,Yellow cards,0.0
1278605307,9294,Expected Goals,0.89
1278605307,9294,Big Chances Created,0.0
1278605307,9294,Attacks,124.0
1278605307,9294,Free Kicks,13.0
1278605307,9294,Expected Assists,0.99
1278605307,9294,Successful Crosses,7.0
1278605307,9294,Crosses,27.0
1278605307,9294,Passes Own Half,232.0
1278605307,9294,Passes Opposition Half,511.0
1278605307,9294,Successful Long Passes,14.0
1278605307,9294,Long Passes,29.0
1278605307,9294,Throw-Ins,12.0
1278605307,9294,Key Passes,13.0
1278605307,9294,Passes Into Final Third,198.0
1278605307,9294,Backward Passes,99.0
1278605307,9294,Goal Kicks,3.0
1278605307,9294,Interceptions,7.0
1278605307,9294,Successful Tackles,4.0
1278605307,9294,Tackles,5.0
1278605307,9294,Clearances,15.0
1278605307,9294,Successful Aerial Duels,18.0
1278605307,9294,Aerial Duels,26.0
1278605307,9294,Successful Dribbles,7.0
1278605307,9294,Dribbles,20.0
1278605307,9294,Shots accuracy,0.21
1278605307,9294,Failed passes,72.0
1278605307,9294,Possession,0.7
1278605307,9294,Shots on target,4.0
1278605307,9294,Corners,11.0
1278605307,9294,Offsides,0.0
1278605307,9294,Successful passes,644.0
1278605307,9294,Red cards,0.0
1278605307,9294,Shots off target,5.0
1278605307,9294,Blocked shots,10.0
1278605307,9294,Shots within penalty area,15.0
1278605307,9294,Total passes,716.0
1278605307,9294,Goalkeeper saves,1.0
1278605307,9294,Fouls,7.0
1278605307,9294,Yellow cards,0.0
1278605307,9294,Shots outside penalty area,4.0
1278605307,10996,Expected Goals,0.58
1278605307,10996,Big Chances Created,1.0
1278605307,10996,Attacks,49.0
1278605307,10996,Free Kicks,6.0
1278605307,10996,Expected Assists,0.57
1278605307,10996,Successful Crosses,1.0
1278605307,10996,Crosses,6.0
1278605307,10996,Passes Own Half,202.0
1278605307,10996,Passes Opposition Half,120.0
1278605307,10996,Successful Long Passes,17.0
1278605307,10996,Long Passes,45.0
1278605307,10996,Throw-Ins,8.0
1278605307,10996,Key Passes,6.0
1278605307,10996,Passes Into Final Third,45.0
1278605307,10996,Backward Passes,56.0
1278605307,10996,Goal Kicks,10.0
1278605307,10996,Interceptions,13.0
1278605307,10996,Successful Tackles,14.0
1278605307,10996,Tackles,21.0
1278605307,10996,Clearances,32.0
1278605307,10996,Successful Aerial Duels,8.0
1278605307,10996,Aerial Duels,26.0
1278605307,10996,Successful Dribbles,4.0
1278605307,10996,Dribbles,6.0
1278605307,10996,Shots accuracy,0.29
1278605307,10996,Failed passes,61.0
1278605307,10996,Possession,0.3
1278605307,10996,Shots on target,2.0
1278605307,10996,Corners,1.0
1278605307,10996,Offsides,0.0
1278605307,10996,Successful passes,255.0
1278605307,10996,Red cards,0.0
1278605307,10996,Shots off target,3.0
1278605307,10996,Blocked shots,2.0
1278605307,10996,Shots within penalty area,5.0
1278605307,10996,Total passes,316.0
1278605307,10996,Goalkeeper saves,3.0
1278605307,10996,Fouls,13.0
1278605307,10996,Yellow cards,2.0
1278605307,10996,Shots outside penalty area,2.0
1286523862,8443,Expected Goals,2.5
1286523862,8443,Big Chances Created,4.0
1286523862,8443,Attacks,332.0
1286523862,8443,Free Kicks,8.0
1286523862,8443,Expected Assists,2.14
1286523862,8443,Successful Crosses,4.0
1286523862,8443,Crosses,30.0
1286523862,8443,Passes Own Half,216.0
1286523862,8443,Passes Opposition Half,468.0
1286523862,8443,Successful Long Passes,17.0
1286523862,8443,Long Passes,26.0
1286523862,8443,Throw-Ins,16.0
1286523862,8443,Key Passes,15.0
1286523862,8443,Passes Into Final Third,195.0
1286523862,8443,Backward Passes,111.0
1286523862,8443,Goal Kicks,5.0
1286523862,8443,Interceptions,9.0
1286523862,8443,Successful Tackles,7.0
1286523862,8443,Tackles,17.0
1286523862,8443,Clearances,7.0
1286523862,8443,Successful Aerial Duels,9.0
1286523862,8443,Aerial Duels,17.0
1286523862,8443,Successful Dribbles,11.0
1286523862,8443,Dribbles,21.0
1286523862,8443,Shots accuracy,0.24
1286523862,8443,Failed passes,58.0
1286523862,8443,Possession,0.61
1286523862,8443,Shots on target,6.0
1286523862,8443,Corners,11.0
1286523862,8443,Offsides,2.0
1286523862,8443,Successful passes,596.0
1286523862,8443,Red cards,0.0
1286523862,8443,Shots off target,8.0
1286523862,8443,Blocked shots,11.0
1286523862,8443,Shots within penalty area,18.0
1286523862,8443,Total passes,654.0
1286523862,8443,Shots outside penalty area,7.0
1286523862,8443,Goalkeeper saves,1.0
1286523862,8443,Fouls,11.0
1286523862,8443,Yellow cards,0.0
1286523862,28016,Expected Goals,0.15
1286523862,28016,Big Chances Created,0.0
1286523862,28016,Attacks,92.0
1286523862,28016,Free Kicks,11.0
1286523862,28016,Expected Assists,0.06
1286523862,28016,Successful Crosses,0.0
1286523862,28016,Crosses,2.0
1286523862,28016,Passes Own Half,330.0
1286523862,28016,Passes Opposition Half,107.0
1286523862,28016,Successful Long Passes,24.0
1286523862,28016,Long Passes,52.0
1286523862,28016,Throw-Ins,15.0
1286523862,28016,Key Passes,2.0
1286523862,28016,Passes Into Final Third,25.0
1286523862,28016,Backward Passes,69.0
1286523862,28016,Goal Kicks,9.0
1286523862,28016,Interceptions,11.0
1286523862,28016,Successful Tackles,15.0
1286523862,28016,Tackles,20.0
1286523862,28016,Clearances,39.0
1286523862,28016,Successful Aerial Duels,8.0
1286523862,28016,Aerial Duels,17.0
1286523862,28016,Successful Dribbles,9.0
1286523862,28016,Dribbles,17.0
1286523862,28016,Shots accuracy,0.25
1286523862,28016,Failed passes,70.0
1286523862,28016,Possession,0.39
1286523862,28016,Shots on target,1.0
1286523862,28016,Corners,0.0
1286523862,28016,Offsides,0.0
1286523862,28016,Successful passes,365.0
1286523862,28016,Red cards,1.0
1286523862,28016,Shots off target,2.0
1286523862,28016,Blocked shots,1.0
1286523862,28016,Shots within penalty area,0.0
1286523862,28016,Total passes,435.0
1286523862,28016,Shots outside penalty area,4.0
1286523862,28016,Goalkeeper saves,6.0
1286523862,28016,Fouls,9.0
1286523862,28016,Yellow cards,4.0
1278047051,5890,Expected Goals,2.19
1278047051,5890,Big Chances Created,4.0
1278047051,5890,Attacks,133.0
1278047051,5890,Free Kicks,13.0
1278047051,5890,Expected Assists,0.94
1278047051,5890,Successful Crosses,0.0
1278047051,5890,Crosses,10.0
1278047051,5890,Passes Own Half,283.0
1278047051,5890,Passes Opposition Half,177.0
1278047051,5890,Successful Long Passes,22.0
1278047051,5890,Long Passes,35.0
1278047051,5890,Throw-Ins,12.0
1278047051,5890,Key Passes,9.0
1278047051,5890,Passes Into Final Third,52.0
1278047051,5890,Backward Passes,68.0
1278047051,5890,Goal Kicks,6.0
1278047051,5890,Interceptions,5.0
1278047051,5890,Successful Tackles,16.0
1278047051,5890,Tackles,20.0
1278047051,5890,Clearances,17.0
1278047051,5890,Successful Aerial Duels,7.0
1278047051,5890,Aerial Duels,10.0
1278047051,5890,Successful Dribbles,9.0
1278047051,5890,Dribbles,16.0
1278047051,5890,Shots accuracy,0.54
1278047051,5890,Failed passes,47.0
1278047051,5890,Possession,0.45
1278047051,5890,Shots on target,7.0
1278047051,5890,Corners,2.0
1278047051,5890,Offsides,1.0
1278047051,5890,Successful passes,403.0
1278047051,5890,Red cards,0.0
1278047051,5890,Shots off target,1.0
1278047051,5890,Blocked shots,5.0
1278047051,5890,Shots within penalty area,8.0
1278047051,5890,Total passes,450.0
1278047051,5890,Shots outside penalty area,5.0
1278047051,5890,Goalkeeper saves,2.0
1278047051,5890,Fouls,12.0
1278047051,5890,Yellow cards,1.0
1278047051,3337,Expected Goals,0.96
1278047051,3337,Big Chances Created,1.0
1278047051,3337,Attacks,155.0
1278047051,3337,Free Kicks,12.0
1278047051,3337,Expected Assists,0.66
1278047051,3337,Successful Crosses,4.0
1278047051,3337,Crosses,19.0
1278047051,3337,Passes Own Half,284.0
1278047051,3337,Passes Opposition Half,275.0
1278047051,3337,Successful Long Passes,20.0
1278047051,3337,Long Passes,39.0
1278047051,3337,Throw-Ins,14.0
1278047051,3337,Key Passes,11.0
1278047051,3337,Passes Into Final Third,93.0
1278047051,3337,Backward Passes,90.0
1278047051,3337,Goal Kicks,4.0
1278047051,3337,Interceptions,5.0
1278047051,3337,Successful Tackles,13.0
1278047051,3337,Tackles,14.0
1278047051,3337,Clearances,11.0
1278047051,3337,Successful Aerial Duels,3.0
1278047051,3337,Aerial Duels,10.0
1278047051,3337,Successful Dribbles,8.0
1278047051,3337,Dribbles,16.0
1278047051,3337,Shots accuracy,0.25
1278047051,3337,Failed passes,42.0
1278047051,3337,Possession,0.55
1278047051,3337,Shots on target,3.0
1278047051,3337,Corners,2.0
1278047051,3337,Offsides,0.0
