match_id,fecha,liga_id,casa,mercado,lado,cuota,cosechado
1336367783,2026-08-24T19:30:00.000Z,119924,William Hill,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,BetVictor,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,BetVictor,Both Teams To Score,No,1.83,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,ToonieBet,Both Teams To Score,Yes,1.94,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,ToonieBet,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Ivibet,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Ivibet,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,LSbet,Both Teams To Score,Yes,2.1,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,LSbet,Both Teams To Score,No,1.7,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,888sport,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,888sport,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Parimatch,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Parimatch,Both Teams To Score,No,1.83,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,1Bet,Both Teams To Score,Yes,1.9,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,1Bet,Both Teams To Score,No,1.81,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Coral,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Coral,Both Teams To Score,No,1.83,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,1xBet,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,1xBet,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Betsson,Both Teams To Score,Yes,2.02,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,Betsson,Both Teams To Score,No,1.72,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,bet365,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336367783,2026-08-24T19:30:00.000Z,119924,bet365,Both Teams To Score,No,1.91,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,1Bet,Both Teams To Score,Yes,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,1Bet,Both Teams To Score,No,1.81,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,bet365,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,bet365,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,1xBet,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,1xBet,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,22Bet,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,22Bet,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Betano,Both Teams To Score,Yes,1.87,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Betano,Both Teams To Score,No,1.87,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Interwetten,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Interwetten,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,888sport,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,888sport,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,LeoVegas Sport,Both Teams To Score,Yes,1.82,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,LeoVegas Sport,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Novibet,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Novibet,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,FanDuel,Both Teams To Score,Yes,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,FanDuel,Both Teams To Score,No,1.86,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,DraftKings,Both Teams To Score,Yes,1.91,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,DraftKings,Both Teams To Score,No,1.83,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,TonyBet,Both Teams To Score,Yes,1.97,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,TonyBet,Both Teams To Score,No,1.84,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Parimatch,Both Teams To Score,Yes,1.93,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Parimatch,Both Teams To Score,No,1.77,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Unibet,Both Teams To Score,Yes,1.82,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Unibet,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Ivibet,Both Teams To Score,Yes,1.97,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Ivibet,Both Teams To Score,No,1.84,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,10bet,Both Teams To Score,Yes,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,10bet,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,LSbet,Both Teams To Score,Yes,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,LSbet,Both Teams To Score,No,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Ladbrokes,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Ladbrokes,Both Teams To Score,No,1.75,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Coral,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Coral,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
