casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
20Bet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.17,0.8547008547008548,0.8219178082191781,0.819033,0.0028848082191781366,-0.041731390000000035
Megapari,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,4.95,0.20202020202020202,0.1924959216965742,0.180967,0.011528921696574213,-0.1042133500000001
Megapari,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.18,0.8474576271186441,0.8075040783034257,0.819033,-0.011528921696574268,-0.03354106000000012
LeoVegas Sport,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.6,0.17857142857142858,0.1691394658753709,0.180967,-0.011827534124629085,0.01341519999999985
LeoVegas Sport,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.14,0.8771929824561404,0.830860534124629,0.819033,0.011827534124629002,-0.0663023800000001
Campobet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,4.4,0.22727272727272727,0.2114695340501792,0.180967,0.03050253405017922,-0.20374520000000007
Campobet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.18,0.8474576271186441,0.7885304659498209,0.819033,-0.03050253405017911,-0.03354106000000012
Unibet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.6,0.17857142857142858,0.1691394658753709,0.180967,-0.011827534124629085,0.01341519999999985
Unibet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.14,0.8771929824561404,0.830860534124629,0.819033,0.011827534124629002,-0.0663023800000001
Goldenbet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.06,0.19762845849802374,0.1864951768488746,0.180967,0.005528176848874605,-0.08430698000000014
Goldenbet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.16,0.8620689655172414,0.8135048231511254,0.819033,-0.005528176848874633,-0.04992172000000006
