match_id,arbitro,clima_status,clima_temp
1173667646,"Taylor, Anthony",cloudy,2.83
1173671901,"Attwell, Stuart",clear day,1.59
1173669348,"Gillett, Jarred",clear day,0.84
1173665944,"Kavanagh, Christopher",clear night,1.01
1173666795,"Robinson, Tim",clear day,1.61
1173672752,"Bankes, Peter",clear day,1.44
1173665093,"Hooper, Simon",clear day,1.49
1173657434,"Madley, Andrew",clear night,3.38
1173663391,"Gillett, Jarred",wind,1.78
1173660838,"Kavanagh, Christopher",wind,5.23
1173659987,"Harrington, Tony",cloudy,3.86
1173656583,"England, Darren",clear night,2.3
1173661689,"Bramall, Thomas",clear night,1.57
1173659136,"Barrott, Samuel",clear night,2.71
1173664242,"Salisbury, Michael",clear night,2.57
1173658285,"Jones, Robert",clear night,1.01
1173662540,"Oliver, Michael",clear night,1.98
