config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+boxscore+calidad_plantilla,2,resultado,212,-2.5913679876443445,0.4386792452830189,0.5141509433962265,-0.07547169811320759
base+elo+boxscore+calidad_plantilla,2,mas_2_5,212,-1.4904814795070493,0.5801886792452831,0.6556603773584906,-0.07547169811320753
base+elo+boxscore+calidad_plantilla,2,ambos_marcan,212,-1.965644253436573,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+boxscore+calidad_plantilla,2,mas_9_5_corners,212,-1.620100047032724,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+boxscore+calidad_plantilla,2,mas_4_5_tarjetas,201,-2.6149389032962445,0.6467661691542289,0.6467661691542289,0.0
base+elo+arbitro+clima,2,resultado,199,-2.9166208194323873,0.4723618090452261,0.5125628140703518,-0.040201005025125636
base+elo+arbitro+clima,2,mas_2_5,199,-0.586680271850726,0.628140703517588,0.6432160804020101,-0.015075376884422065
base+elo+arbitro+clima,2,ambos_marcan,199,-1.8939901860759267,0.5678391959798995,0.592964824120603,-0.025125628140703515
base+elo+arbitro+clima,2,mas_9_5_corners,199,-1.6495949948593316,0.5175879396984925,0.5829145728643216,-0.0653266331658291
base+elo+arbitro+clima,2,mas_4_5_tarjetas,192,-1.8493292619131108,0.65625,0.6458333333333334,0.01041666666666663
base+elo+arbitro+rotacion,2,resultado,212,-3.1796771994462136,0.45754716981132076,0.5141509433962265,-0.0566037735849057
base+elo+arbitro+rotacion,2,mas_2_5,212,-0.8075986572888251,0.5943396226415094,0.6556603773584906,-0.061320754716981174
base+elo+arbitro+rotacion,2,ambos_marcan,212,-2.059648549718765,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+arbitro+rotacion,2,mas_9_5_corners,212,-1.040893843273765,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo+arbitro+rotacion,2,mas_4_5_tarjetas,201,-1.73814782015178,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+arbitro+calidad_plantilla,2,resultado,212,-2.546139521995208,0.44339622641509435,0.5141509433962265,-0.07075471698113212
base+elo+arbitro+calidad_plantilla,2,mas_2_5,212,-0.8955014510387234,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+arbitro+calidad_plantilla,2,ambos_marcan,212,-0.8479552596897773,0.5849056603773585,0.5849056603773585,0.0
base+elo+arbitro+calidad_plantilla,2,mas_9_5_corners,212,-1.430645249545768,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo+arbitro+calidad_plantilla,2,mas_4_5_tarjetas,201,-2.26866927759211,0.6368159203980099,0.6467661691542289,-0.009950248756218971
base+elo+clima+rotacion,2,resultado,199,-2.7841984610838186,0.46733668341708545,0.5125628140703518,-0.045226130653266305
base+elo+clima+rotacion,2,mas_2_5,199,-1.0981887943558404,0.5879396984924623,0.6432160804020101,-0.055276381909547756
base+elo+clima+rotacion,2,ambos_marcan,199,-2.3768376300808867,0.5678391959798995,0.592964824120603,-0.025125628140703515
base+elo+clima+rotacion,2,mas_9_5_corners,199,-1.611335307043921,0.5527638190954773,0.5829145728643216,-0.03015075376884424
base+elo+clima+rotacion,2,mas_4_5_tarjetas,192,-1.2778181494205116,0.6875,0.6458333333333334,0.04166666666666663
base+elo+clima+calidad_plantilla,2,resultado,199,-2.0840744856822475,0.47738693467336685,0.5125628140703518,-0.03517587939698491
base+elo+clima+calidad_plantilla,2,mas_2_5,199,-0.8579566648712493,0.6080402010050251,0.6432160804020101,-0.035175879396984966
base+elo+clima+calidad_plantilla,2,ambos_marcan,199,-2.20870339845882,0.5477386934673367,0.592964824120603,-0.045226130653266305
base+elo+clima+calidad_plantilla,2,mas_9_5_corners,199,-1.5731841602795238,0.542713567839196,0.5829145728643216,-0.04020100502512558
base+elo+clima+calidad_plantilla,2,mas_4_5_tarjetas,192,-2.109300372536704,0.6458333333333334,0.6458333333333334,0.0
base+elo+rotacion+calidad_plantilla,2,resultado,212,-2.307003040316659,0.4481132075471698,0.5141509433962265,-0.06603773584905664
base+elo+rotacion+calidad_plantilla,2,mas_2_5,212,-1.0295729336164636,0.6037735849056604,0.6556603773584906,-0.05188679245283023
base+elo+rotacion+calidad_plantilla,2,ambos_marcan,212,-1.368383607478639,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+rotacion+calidad_plantilla,2,mas_9_5_corners,212,-1.3775125306557312,0.5613207547169812,0.5849056603773585,-0.023584905660377298
