y,pm,liga,28,28 + impacto xG,28 + impacto goles,28 + impacto xG y goles,28 + lesiones
0,0.41818181818181815,La Liga,0.55542237,0.54934186,0.58624667,0.587408,0.5420885
1,0.4932249322493225,Segunda,0.49480438,0.5008236,0.5316552,0.53241664,0.48352593
0,0.4656084656084655,Bundesliga,0.4754486,0.47684923,0.47654653,0.46667624,0.47219172
0,0.48010610079575594,Serie A,0.50052184,0.4864615,0.48311433,0.4815263,0.48728442
1,0.5212765957446808,Ligue 1,0.5552616,0.54999864,0.51052827,0.51444775,0.5435554
0,0.4323607427055703,Segunda,0.49777597,0.49708763,0.48255873,0.48604736,0.47896734
1,0.33096926713947994,La Liga,0.42723003,0.42520183,0.41258106,0.41843843,0.42427558
0,0.5639686684073107,Premier League,0.60584784,0.59262353,0.6017703,0.59840333,0.58897763
0,0.6690307328605202,Bundesliga,0.80718154,0.8208295,0.8013732,0.8078208,0.80783165
1,0.6370370370370371,Bundesliga,0.5350831,0.5384278,0.5255176,0.53054655,0.5404402
0,0.625,Bundesliga,0.58019716,0.5859924,0.5301149,0.53079003,0.57577133
1,0.6071428571428571,Bundesliga,0.65982974,0.67092174,0.6386906,0.6435057,0.6646889
1,0.4588859416445623,Premier League,0.49255124,0.4812654,0.52003163,0.52498376,0.49782056
0,0.6071428571428571,Premier League,0.67509925,0.6774376,0.6685706,0.67774194,0.66957337
1,0.43193717277486904,Premier League,0.47910866,0.48258668,0.47772622,0.48804188,0.48377872
1,0.5680628272251308,Premier League,0.66212296,0.6573236,0.64616054,0.6422836,0.66085637
0,0.44063324538258575,La Liga,0.5611004,0.5523178,0.51876223,0.51901925,0.54691374
1,0.5121293800539084,Segunda,0.5923538,0.59392256,0.5895706,0.5974635,0.56733054
1,0.5053475935828876,Ligue 1,0.49014416,0.5050987,0.50924945,0.51924807,0.49558502
1,0.7098901098901099,Bundesliga,0.6767368,0.6793256,0.65140235,0.6454638,0.67885256
0,0.53315649867374,Premier League,0.56538594,0.5670037,0.5396325,0.53859293,0.5683348
0,0.4192708333333333,Serie A,0.38305444,0.3932724,0.4079922,0.41719136,0.38334665
0,0.5039999999999999,Serie A,0.47158808,0.4820474,0.46620053,0.47813636,0.4583103
0,0.4368421052631579,Ligue 1,0.47603005,0.47935167,0.44483972,0.4533294,0.47011837
0,0.48247978436657685,Segunda,0.61772937,0.6113628,0.5545344,0.5480927,0.61467254
0,0.3838383838383838,La Liga,0.48025528,0.47398344,0.45382077,0.44669127,0.4733526
0,0.46276595744680854,La Liga,0.55482054,0.5646199,0.53272927,0.53492874,0.65077055
0,0.526595744680851,Serie A,0.5228888,0.5267427,0.53506315,0.53149647,0.522676
0,0.4760638297872341,Serie A,0.4033845,0.41687584,0.4022162,0.40902972,0.41425243
1,0.6,Ligue 1,0.59531915,0.5893255,0.5808618,0.58322173,0.5919808
1,0.6096938775510204,La Liga,0.72191495,0.72001326,0.72228205,0.7200979,0.79727536
0,0.5403225806451611,Segunda,0.57614005,0.56783587,0.5481681,0.5511913,0.5414778
