match_id,local_formacion,local_ids,visitante_formacion,visitante_ids
1336393313,4-2-3-1,117684|45772454|184499|368039|36540|102550|121870|122836|20884752|82718090|44912,4-2-3-1,4901155|7620123|6690026|3042249|274337|88358403|7613039|7654577|7548961|351295|8526
1336388207,4-2-3-1,7610624|7611107|100296|7610785|29331295|53501581|7568281|29591793|20672232|13538000|7614488,3-4-3,1826860|26091492|50126699|71816941|50735601|7564256|88341498|7596456|26076197|29668751|50124928
1336391611,4-2-3-1,7510160|3037741|69002500|7652967|67788238|29402135|7512736|7513541|23627065|7512092|7526260,4-2-3-1,453047|72565430|7607243|45410848|46142915|7534793|29575693|44071006|62547849|56009639|50391544
1336392462,4-2-3-1,29599682|77677663|55274030|7524328|29251439|49811622|273854|7614327|252924|71349397|73593415,4-4-2,7623987|3017294|17188353|1003667|53350563|29584065|26192600|22379315|235375|122514|98042
1336395015,4-4-2,89831|1838935|47867225|54563376|19278616|21855743|3583048|3381798|88034632|29849232|51932314,4-4-2,7652001|147952|53721346|7641697|45670702|66145394|7803019|717892|70772212|13517|50827693
1336382250,3-5-2,1826860|7628012|26091492|71816941|26076197|7564256|88341498|50124928|7596456|98686|29668751,4-4-2,30563106|3857|44465778|7617708|32046238|149079|149884|394443|62329533|7619157|1180606
1336383952,5-3-2,7606921|10347302|29129401|7607404|239883|3025988|55256159|4006156|30266061|31477586|7647493,3-4-3,4953319|366912|7726222|53085396|7658280|53693976|26101957|56658147|26062029|51603391|7638799
1336383101,4-4-2,453047|72565430|7607243|7611751|46142915|44071006|7534793|66829483|46052272|50391544|62547849,4-3-3,89831|1838935|47867225|28163401|19278616|16876335|3381798|19287149|6298635|52733450|70560497
1336384803,4-4-2,7541877|29689681|2329824|50894669|88776037|29817676|54341357|16896943|30630887|60600715|26087628,4-3-3,441455|10353903|252441|118328|81241559|29399237|17183201|26064927|58402904|30917306|7603379
1336379697,4-4-2,7623987|3017294|17188353|1003667|53350563|29584065|26192600|22379315|23177|122514|98042,4-4-2,7510160|29182853|7652967|45051496|67788238|7659568|29402135|7512736|7512092|7526260|23627065
1336386505,5-3-2,7652001|26110329|147630|7641697|45670702|4234776|7803019|717892|70772212|50827693|13517,4-2-3-1,29417752|91448315|29254015|63856457|99813|7238|21511203|22344861|54840940|62279462|241010
1336387356,4-4-2,44857813|11350654|54204185|3541671|57315188|29385713|3332210|47466818|522760|3044020|274981,4-4-2,28841533|20451179|5145|51441586|7625114|17260964|55845419|26076519|30339799|236019|92532167
1336385654,4-3-3,25194722|7620123|6690026|3042249|274337|7613039|7584703|7548961|7654577|8526|20701856,4-2-3-1,29599682|77677663|46141949|26679947|29251439|49811622|273854|7614327|252924|71349397|73593415
1336380548,4-2-3-1,7610624|7611107|100296|7610785|29331295|53501581|7568281|29591793|20672232|13538000|7614488,4-4-2,4823|90797|4894393|47622827|121387|3021641|1241786|54191788|52153689|29337413|149401
1336381399,4-2-3-1,7565544|118650|31411254|7615776|231833|50959713|7622055|273371|120099|1605485|7660856,4-2-3-1,117684|7628334|58201171|184499|36540|355481|121870|122836|20884752|47006358|44912
1336404376,4-4-2,7610463|3857|65216907|7617708|32046238|7618191|394443|29582938|5290936|7619157|9945768,3-4-3,4953319|366912|53085396|29408575|25436222|26101957|53693976|28972909|43335397|19760328|77550312
1336372038,4-2-3-1,29417752|91448315|367556|63856457|202531|69776910|21511203|22344861|213157|62279462|241010,4-3-3,25194722|50555120|6690026|3042249|3303874|7613039|7584703|88358403|7654577|8526|20701856
1336375442,4-4-2,7510160|29182853|29397466|7652967|67788238|7659568|29402135|7512736|7512092|7526260|10938333,4-4-2,7606921|10347302|29129401|7607404|3025988|30266061|26122243|4006156|62470247|31477586|7647493
1336372889,3-4-3,4953319|70482090|7726222|61845889|25436222|26101957|7520625|29408575|19760328|26062029|43335397,4-2-3-1,7610624|7611107|100296|29599843|29331295|53501581|7568281|13538000|20672232|4912264|7614488
1336373740,4-4-2,28841533|20451179|80080427|51441586|7625114|26076519|55845419|17260964|30339799|92532167|236019,5-3-2,7652001|26110329|147630|7641697|53721346|45670702|50827693|7556367|7803019|87400775|5056520
1336377144,4-2-3-1,117684|7628334|58201171|368039|45717|355481|121870|122836|20884752|119938|44912,4-4-2,7541877|88776037|2329824|50894669|29800610|9814|53970735|63494046|30630887|60600715|26087628
1336378846,4-2-3-1,89831|1838935|47867225|54563376|19278616|16876335|3381798|62286224|26102440|70560497|52733450,4-4-2,4823|90797|4894393|47622827|121387|149401|1241786|54191788|52153689|29337413|3021641
1336377995,4-4-2,7610463|3857|7617708|65216907|32046238|1180606|149884|29582938|7618191|7619157|9945768,4-4-2,453047|72565430|7611751|5954417|46142915|44071006|7534793|29575693|46052272|50391544|62547849
1336371187,5-3-2,7623987|29584065|3017294|17188353|1003667|53350563|26192600|22379315|98042|7596295,4-4-2,44857813|29691774|54204185|26880|50195607|8213730|3332210|7654255|522760|29060010|274981
1336376293,4-2-3-1,29599682|77677663|46141949|26679947|29251439|52169628|273854|7614327|252924|7600803|73593415,5-4-1,1826860|26076197|7628012|20389194|26091492|71816941|72167277|7564256|30158352|50124928|29668751
1336355869,4-3-3,29417752|91448315|29254015|63856457|99813|21511203|69776910|54840940|22344861|241010|62279462,4-2-3-1,7610624|55519072|100296|7610785|50397179|70460677|61788734|29591793|20672232|7614488|7614005
1336360124,4-2-3-1,117684|45772454|58201171|184499|36540|121870|102550|122836|20884752|47006358|44912,4-2-3-1,7610463|3857|65216907|56199297|32046238|29582938|394443|62329533|1180606|5290936|7619157
1336361826,5-3-2,7652001|4234776|147630|7641697|53721346|26110329|50827693|398790|87400775|13517|7609658,4-2-3-1,7565544|251958|57155798|7615776|53866568|48442639|50959713|21914991|273371|1605485|7660856
1336367783,4-4-2,7541877|88776037|2329824|50894669|29800610|9814|54341357|63494046|29817676|60600715|26087628,4-4-2,28841533|20451179|7597744|51441586|7625114|57115548|55845419|26076519|26101796|236019|30339799
